iter	Passed	Remaining
455	944	1126
456	946	1124
457	948	1122
458	950	1119
459	952	1117
460	953	1115
461	955	1113
462	958	1111
463	960	1109
464	962	1106
465	964	1104
466	966	1102
467	968	1100
468	970	1098
469	972	1096
470	974	1094
471	976	1092
472	978	1090
473	980	1088
474	982	1086
475	984	1084
476	986	1082
477	988	1079
478	991	1077
479	992	1075
480	995	1073
481	997	1072
482	999	1070
483	1001	1068
484	1003	1065
485	1005	1063
486	1007	1061
487	1009	1059
488	1011	1057
489	1014	1055
490	1015	1053
491	1018	1051
492	1020	1048
493	1022	1046
494	1023	1044
495	1025	1042
496	1027	1040
497	1030	1038
498	1032	1036
499	1034	1034
500	1036	1032
501	1038	1029
502	1040	1027
503	1042	1025
504	1044	1023
505	1046	1021
506	1048	1019
507	1050	1017
508	1052	1015
509	1054	1012
510	1056	1010
511	1058	1008
512	1060	1006
513	1062	1004
514	1064	1002
515	1066	1000
516	1068	998
517	1070	996
518	1072	994
519	1074	992
520	1076	990
521	1079	988
522	1081	986
523	1083	983
524	1085	981
525	1087	979
526	1089	978
527	1091	976
528	1093	973
529	1095	971
530	1097	969
531	1100	967
532	1102	965
533	1104	963
534	1106	961
535	1108	959
536	1110	957
537	1113	955
538	1115	954
539	1118	952
540	1120	950
541	1122	948
542	1124	946
543	1126	944
544	1128	942
545	1131	940
546	1133	938
547	1135	936
548	1137	934
549	1138	931
550	1140	929
551	1143	927
552	1144	925
553	1147	923
554	1149	921
555	1150	919
556	1152	916
557	1154	914
558	1156	912
559	1158	910
560	1160	908
561	1162	906
562	1164	904
563	1166	902
564	1169	900
565	1171	898
566	1173	896
567	1175	893
568	1177	891
569	1179	889
570	1181	887
571	1183	885
572	1185	883
573	1187	881
574	1189	879
575	1192	877
576	1193	875
577	1195	873
578	1197	871
579	1199	868
580	1201	866
581	1203	864
582	1205	862
583	1207	860
584	1209	858
585	1211	856
586	1214	854
587	1216	852
588	1218	849
589	1219	847
590	1221	845
591	1223	843
592	1225	841
593	1227	839
594	1229	836
595	1231	834
596	1233	832
597	1235	830
598	1237	828
599	1239	826
600	1241	824
601	1243	822
602	1245	820
603	1247	818
604	1252	817
605	1256	816
606	1259	815
607	1262	814
608	1265	812
609	1268	811
610	1271	809
611	1273	807
612	1276	805
613	1278	803
614	1281	802
615	1285	801
616	1287	798
617	1289	796
618	1291	794
619	1293	792
620	1296	791
621	1298	789
622	1300	786
623	1302	784
624	1304	782
625	1306	780
626	1309	778
627	1311	776
628	1313	774
629	1315	772
630	1317	770
631	1319	768
632	1321	766
633	1324	764
634	1326	762
635	1328	760
636	1330	758
637	1332	756
638	1334	754
639	1337	752
640	1339	750
641	1341	748
642	1343	745
643	1345	743
644	1348	742
645	1350	739
646	1352	737
647	1354	735
648	1356	733
649	1358	731
650	1361	729
651	1363	727
652	1365	725
653	1367	723
654	1369	721
655	1371	719
656	1374	717
657	1377	715
658	1379	713
659	1381	711
660	1384	709
661	1386	707
662	1388	705
663	1390	703
664	1392	701
665	1394	699
666	1396	697
667	1398	695
668	1400	692
669	1403	691
670	1405	689
671	1408	687
672	1410	685
673	1413	683
674	1415	681
675	1418	679
676	1419	677
677	1421	675
678	1423	673
679	1426	671
680	1428	668
681	1430	666
682	1432	664
683	1434	662
684	1436	660
685	1438	658
686	1440	656
687	1442	653
688	1444	651
689	1446	649
690	1448	647
691	1450	645
692	1452	643
693	1454	641
694	1456	639
695	1458	636
696	1460	634
697	1462	632
698	1464	630
699	1466	628
700	1468	626
701	1470	624
702	1472	622
703	1474	620
704	1477	618
705	1479	615
706	1481	613
707	1483	611
708	1485	609
709	1487	607
710	1489	605
711	1492	603
712	1494	601
713	1496	599
714	1498	597
715	1500	595
716	1502	593
717	1505	591
718	1507	589
719	1509	587
720	1511	584
721	1513	582
722	1515	580
723	1517	578
724	1519	576
725	1521	574
726	1523	572
727	1525	570
728	1527	567
729	1529	565
730	1531	563
731	1534	561
732	1536	559
733	1538	557
734	1540	555
735	1542	553
736	1544	551
737	1546	548
738	1548	546
739	1550	544
740	1552	542
741	1554	540
742	1556	538
743	1558	536
744	1560	533
745	1562	531
746	1564	529
747	1566	527
748	1568	525
749	1570	523
750	1572	521
751	1574	519
752	1576	517
753	1578	515
754	1580	512
755	1582	510
756	1584	508
757	1586	506
758	1588	504
759	1591	502
760	1593	500
761	1595	498
762	1597	496
763	1599	494
764	1601	491
765	1603	489
766	1605	487
767	1607	485
768	1609	483
769	1611	481
770	1613	479
771	1615	477
772	1617	475
773	1619	472
774	1621	470
775	1623	468
776	1625	466
777	1627	464
778	1629	462
779	1631	460
780	1633	458
781	1635	456
782	1637	453
783	1639	451
784	1641	449
785	1643	447
786	1645	445
787	1647	443
788	1649	441
789	1651	439
790	1653	437
791	1655	434
792	1657	432
793	1659	430
794	1661	428
795	1663	426
796	1665	424
797	1667	422
798	1669	420
799	1671	417
800	1673	415
801	1675	413
802	1677	411
803	1679	409
804	1681	407
805	1683	405
806	1686	403
807	1688	401
808	1690	399
809	1692	396
810	1694	394
811	1696	392
812	1698	390
813	1700	388
814	1702	386
815	1704	384
816	1706	382
817	1708	380
818	1710	378
819	1712	375
820	1714	373
821	1716	371
822	1718	369
823	1720	367
824	1722	365
825	1724	363
826	1726	361
827	1728	359
828	1730	356
829	1732	354
830	1734	352
831	1736	350
832	1738	348
833	1740	346
834	1742	344
835	1745	342
836	1747	340
837	1749	338
838	1751	336
839	1754	334
840	1756	332
841	1759	330
842	1761	328
843	1763	325
844	1765	323
845	1767	321
846	1769	319
847	1772	317
848	1774	315
849	1776	313
850	1778	311
851	1780	309
852	1782	307
853	1784	305
854	1787	303
855	1789	300
856	1791	298
857	1793	296
858	1795	294
859	1797	292
860	1799	290
861	1802	288
862	1804	286
863	1806	284
864	1808	282
865	1810	280
866	1812	278
867	1814	275
868	1816	273
869	1818	271
870	1820	269
871	1822	267
872	1824	265
873	1826	263
874	1828	261
875	1830	259
876	1832	257
877	1834	254
878	1836	252
879	1838	250
880	1840	248
881	1842	246
882	1844	244
883	1846	242
884	1848	240
885	1851	238
886	1853	236
887	1855	234
888	1857	231
889	1859	229
890	1861	227
891	1863	225
892	1865	223
893	1867	221
894	1869	219
895	1871	217
896	1873	215
897	1875	213
898	1877	210
899	1880	208
900	1882	206
901	1884	204
902	1886	202
903	1887	200
904	1890	198
905	1892	196
906	1894	194
907	1896	192
