iter	Logloss
0	0.6392687246
1	0.6056535408
2	0.5742230803
3	0.5343010443
4	0.4992852444
5	0.4646805799
6	0.4436009351
7	0.4257503928
8	0.4061195783
9	0.3816316249
10	0.3651960602
11	0.3419228211
12	0.3302319806
13	0.3117408557
14	0.2959990298
15	0.282425841
16	0.2728356142
17	0.2627808765
18	0.2507933081
19	0.2394805703
20	0.2333623787
21	0.2243918137
22	0.2156021632
23	0.2074440111
24	0.2016913678
25	0.19817062
26	0.191603266
27	0.1847018734
28	0.1788300736
29	0.1762317621
30	0.1719686813
31	0.1686311947
32	0.1643047212
33	0.1604970996
34	0.1565607274
35	0.1529723124
36	0.1495892255
37	0.1463363218
38	0.1432680053
39	0.1413392273
40	0.1382380802
41	0.135581609
42	0.1337311385
43	0.131494494
44	0.1292955703
45	0.1270520094
46	0.125391847
47	0.1236739271
48	0.1222540788
49	0.1205677374
50	0.119188854
51	0.1182199559
52	0.1170197806
53	0.1160867267
54	0.1147833804
55	0.1139455085
56	0.1132696809
57	0.1120716977
58	0.1111276502
59	0.1099994214
60	0.1093006485
61	0.1086903299
62	0.1078120724
63	0.1071119188
64	0.1064315361
65	0.1056178633
66	0.1050262721
67	0.1042057747
68	0.1036456704
69	0.1029505774
70	0.1023806499
71	0.1015898135
72	0.1012689653
73	0.1007737831
74	0.1002861149
75	0.09972006894
76	0.09924285545
77	0.09867552675
78	0.09837679783
79	0.09789928121
80	0.09745224595
81	0.09715190454
82	0.09666537285
83	0.09607706476
84	0.09569691835
85	0.09516265054
86	0.09484284588
87	0.09461467622
88	0.09429142499
89	0.0940606708
90	0.09392221182
91	0.0936238235
92	0.09333847213
93	0.09300887158
94	0.09252852255
95	0.09207964378
96	0.09177369381
97	0.09150139034
98	0.09123966907
99	0.09084529616
100	0.0905816592
101	0.09042094988
102	0.09005821506
103	0.08987635072
104	0.08962290428
105	0.08941156584
106	0.08902646987
107	0.0887951631
108	0.08854338006
109	0.08836481819
110	0.08811679157
111	0.08799341489
112	0.08778244904
113	0.08747980849
114	0.08718749198
115	0.08685666988
116	0.08652608555
117	0.08636616127
118	0.08609086649
119	0.08600121539
120	0.08592140026
121	0.08558108755
122	0.08538207615
123	0.08519379914
124	0.08511640032
125	0.08492103401
126	0.08480983554
127	0.08464115159
128	0.08430831568
129	0.08420282974
130	0.08402952926
131	0.08386182433
132	0.08366963284
133	0.08350345805
134	0.08341461388
135	0.08319716688
136	0.08304778997
137	0.08293615592
138	0.08264253393
139	0.08252944698
140	0.08241156695
141	0.08220523266
142	0.08207104189
143	0.08203157506
144	0.08189875652
145	0.08167277706
146	0.08158844057
147	0.08139123506
148	0.08120917785
149	0.08100983307
150	0.08080292115
151	0.08057271124
152	0.08028943437
153	0.08021551214
154	0.08012158393
155	0.08004423132
156	0.07994466367
157	0.079798403
158	0.07968401633
159	0.07942934834
160	0.07929333185
161	0.07919503942
162	0.07906089779
163	0.07895018799
164	0.07889904665
165	0.07876572098
166	0.07864680273
167	0.07841665107
168	0.07826212103
169	0.07812712177
170	0.07799454014
171	0.07789778692
172	0.07783371448
173	0.07779926658
174	0.07763492947
175	0.07743145067
176	0.07733169069
177	0.07724872654
178	0.07707086129
179	0.07696411722
180	0.07680985672
181	0.0767734364
182	0.07670190737
183	0.07660270446
184	0.07655518937
185	0.07644895875
186	0.07626726853
187	0.07623536483
188	0.07602930591
189	0.07590412468
190	0.07587542188
191	0.07564428443
192	0.07547386481
193	0.0754130681
194	0.07527253211
195	0.07508583418
196	0.07496529875
197	0.07477471204
198	0.0747188627
199	0.0746274418
200	0.07444060461
201	0.07431157698
202	0.07418313191
203	0.07409003035
204	0.07403188616
205	0.07388063502
206	0.07383158672
207	0.07373154263
208	0.07358477704
209	0.07351145131
210	0.07336282359
211	0.07316219661
212	0.07308039133
213	0.07296128708
214	0.07284194191
215	0.07274002898
216	0.07261475833
217	0.07250752611
218	0.07243209569
219	0.07233187481
220	0.07222559695
221	0.07208207953
222	0.07196575192
223	0.07194902877
224	0.07181993274
225	0.07170004366
226	0.07155082533
227	0.07145458456
228	0.071363345
229	0.07123876703
230	0.07109667483
231	0.07102284486
232	0.07096985616
233	0.07078786495
234	0.07073890339
235	0.07061769829
236	0.07046108909
237	0.07032893726
238	0.07018140896
239	0.07007716733
240	0.06996350417
241	0.06978822059
242	0.06962936762
243	0.06961170471
244	0.06952412198
245	0.06943889285
246	0.06928023745
247	0.06918523388
248	0.06915428422
